edge_id,head_id,relation_type,tail_id,confidence,evidence_ids,properties_json,graph_scope,active
edge_5aaad96b6907aa88ed91,kg_datasetrecord_dr_7da007b6bfc365b463e8,has_repeat_unit,kg_repeatunit_ru_23fa3e98080c7a772852,1.0,[],{},strict,true
edge_5aaddc519d0aac23c9cd,kg_datasetrecord_dr_c82e51abe4222a2d1c22,has_repeat_unit,kg_repeatunit_ru_7d84775f9b2bbb103fba,1.0,[],{},strict,true
edge_5aaec1ecb80df81cfc41,kg_datasetrecord_dr_5d2921b677f20ec7a801,has_repeat_unit,kg_repeatunit_ru_e4510806df27c9e96321,1.0,[],{},strict,true
edge_5ab44a102f35d0dc3981,kg_datasetrecord_dr_1a5de45aaac0b7e0830f,has_repeat_unit,kg_repeatunit_ru_cfb041ead0d1d8b093fb,1.0,[],{},strict,true
edge_5abc6288f7d9df128c5f,kg_datasetrecord_dr_9804bf7efa616662db10,has_repeat_unit,kg_repeatunit_ru_57866715bdd0c5e2ba26,1.0,[],{},strict,true
edge_5abcaafcb6d48a42c028,kg_datasetrecord_dr_a995597f2d965141b18c,has_repeat_unit,kg_repeatunit_ru_f449aa66e7071651cac4,1.0,[],{},strict,true
edge_5ac0bda5d79fdbb84623,kg_datasetrecord_dr_b33bbfce82d0e1f784f6,has_repeat_unit,kg_repeatunit_ru_4b95d7d512cca442bb94,1.0,[],{},strict,true
edge_5ac0dab8ca5296cf0f45,kg_repeatunit_ru_96f14ab623e41733f869,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_5ac1ea89fc5544f5461d,kg_datasetrecord_dr_efc58380ec151bfc9e6b,has_repeat_unit,kg_repeatunit_ru_2a4a32c5b8900f17a0a4,1.0,[],{},strict,true
edge_5ac40deb4266ba498d16,kg_datasetrecord_dr_94cf7bb25b95290313e7,has_repeat_unit,kg_repeatunit_ru_ad319c42962c8a2b9748,1.0,[],{},strict,true
edge_5ac8db62dfb4f9bd700e,kg_datasetrecord_dr_5216cc41c018ad6f22df,has_repeat_unit,kg_repeatunit_ru_9aeb42b42198f77114ad,1.0,[],{},strict,true
edge_5acae0a108901d0b6113,kg_datasetrecord_dr_fcfbd6c2501b6840d98e,has_repeat_unit,kg_repeatunit_ru_bb5012f2116431d3ffd0,1.0,[],{},strict,true
edge_5acc00f171d3e774b1a8,kg_datasetrecord_dr_91723ff920502d02c586,has_repeat_unit,kg_repeatunit_ru_231828bf6b0b3d8c415f,1.0,[],{},strict,true
edge_5ad0aa25b4b702fe90e7,kg_datasetrecord_dr_b47841f4e6c43348690f,has_repeat_unit,kg_repeatunit_ru_ce98d846da565221b3a6,1.0,[],{},strict,true
edge_5ad1ffb3149b5fe2134f,kg_datasetrecord_dr_f9a562bf1fbcfa036014,has_repeat_unit,kg_repeatunit_ru_7e8631d91e5d190e3067,1.0,[],{},strict,true
edge_5ad777def31d20917b8f,kg_datasetrecord_dr_f7cda9eab05ac5be69ab,has_repeat_unit,kg_repeatunit_ru_709e25c77e0139057db3,1.0,[],{},strict,true
edge_5addfc76b4a0a494fd21,kg_datasetrecord_dr_1bcecb1261bf97524584,has_repeat_unit,kg_repeatunit_ru_50cd92146622fb07b66d,1.0,[],{},strict,true
edge_5ade38121158c8eb12d1,kg_datasetrecord_dr_840aac64e4140eb5e448,has_repeat_unit,kg_repeatunit_ru_9a511609cfca79e9a51d,1.0,[],{},strict,true
edge_5adf8f3970b1f4d37231,kg_datasetrecord_dr_b4a1035375824eab80ea,has_repeat_unit,kg_repeatunit_ru_f87283ae5b5c93340c81,1.0,[],{},strict,true
edge_5ae54514440330cc437b,kg_datasetrecord_dr_6c31ac9f2f7a94343cf8,has_repeat_unit,kg_repeatunit_ru_ca78a069b28bdb839a2a,1.0,[],{},strict,true
edge_5ae6ec801f9bcfa46a80,kg_repeatunit_ru_13daad3d0297aeaa5d0c,maps_to,kg_polymerclass_pc_condensation_polymer_unknown,0.2,[],"{""mapping_method"": ""rule_stub"", ""source_type"": ""heuristic_stub""}",broad,true
edge_5aec5e9e93a73c4a7a09,kg_datasetrecord_dr_8cae618b438cca320653,has_repeat_unit,kg_repeatunit_ru_c73a3e50b3aa9dc223d8,1.0,[],{},strict,true
